idfournisseur,nom_fournisseur,contact,evaluation,commentaire,createdAt,updatedAt
1,Lait,contact@lait.com,5,Fournisseur de lait divers,2024-12-11 10:00:00,2024-12-11 10:00:00
2,Noisettes,contact@noisettes.com,4,Fournisseur de noisettes et fruits secs,2024-12-11 10:00:00,2024-12-11 10:00:00
3,Chocolat,contact@chocolat.com,4,Fournisseur de chocolat et produits dérivés,2024-12-11 10:00:00,2024-12-11 10:00:00
4,Miel,contact@miel.com,5,Fournisseur de miel,2024-12-11 10:00:00,2024-12-11 10:00:00
5,Fruits Secs,contact@fruitsecs.com,4,Fournisseur de fruits secs,2024-12-11 10:00:00,2024-12-11 10:00:00
6,Arômes,contact@aromes.com,4,Fournisseur d'arômes naturels et produits associés,2024-12-11 10:00:00,2024-12-11 10:00:00
7,Ferments Lactiques,contact@ferments.com,5,Fournisseur de ferments lactiques,2024-12-11 10:00:00,2024-12-11 10:00:00
8,Lait d'Amande,contact@laitd'amande.com,5,Fournisseur de lait d'amande et produits associés,2024-12-11 10:00:00,2024-12-11 10:00:00
9,Chocolat Nature,contact@chocolatnature.com,4,Fournisseur de chocolat naturel,2024-12-11 10:00:00,2024-12-11 10:00:00
10,Lait de Chevre,contact@laitdechevre.com,4,Fournisseur de lait de chèvre,2024-12-11 10:00:00,2024-12-11 10:00:00
